Sat Feb 22 21:41:30 2025 | adsb_simulation | Iniciando simulação de ADS-B...
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Node is complete, about to call DB_saveData
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveADSBInfo | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | DB_saveAirline | Data couldn't be saved
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
Sat Feb 22 21:41:30 2025 | decodeMessage | Successfully decoded a message (node != NULL)
